10 - Youth unemployment rate for persons aged 15-24  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2003,Female,5.83,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2003,Male,6.99,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,6.63,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2000,Female,10.29,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2000,Male,11.05,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,10.73,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2005,Female,13.6,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2005,Male,8,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,9.27,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2010,Female,7.02,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2010,Male,5.95,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,6.36,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,1996,Female,5.7,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,1996,Male,7.99,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,7.02,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2013,Female,9.61,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Youth unemployment rate for persons aged 15-24  by sex,Southern Asia,50,Bangladesh,2013,Male,10.08,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
