18 - Proportion of individuals using mobile/cellular telephones  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,50,Bangladesh,2013,Female,77.45,-,-,1,1,Information on in-scope population not available,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,50,Bangladesh,2013,Male,84.98,-,-,1,1,Information on in-scope population not available,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,81.18,-,-,1,1,Information on in-scope population not available,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Female,36.29,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Male,62.54,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Both sexes,49.83,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,364,Iran (Islamic Republic of),2013,Female,56.31,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,364,Iran (Islamic Republic of),2013,Male,77.63,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Southern Asia,364,Iran (Islamic Republic of),2013,Both sexes,67.22,-,-,1,1,All population,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2008,Female,88.16,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2008,Male,92.75,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2008,Both sexes,90.43,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2007,Female,84.59,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2007,Male,90.54,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2007,Both sexes,87.54,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2006,Female,81.95,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2006,Male,87.14,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,40,Austria,2006,Both sexes,84.52,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2008,Female,87.52,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2008,Male,88.91,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2008,Both sexes,88.21,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2007,Female,86.53,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2007,Male,89.26,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2007,Both sexes,87.89,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2006,Female,84.77,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2006,Male,88.57,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,56,Belgium,2006,Both sexes,86.66,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2008,Female,74.56,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2008,Male,81.95,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2008,Both sexes,78.17,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2007,Female,66.09,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2007,Male,74.71,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2007,Both sexes,70.3,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2006,Female,56.19,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2006,Male,65.62,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,100,Bulgaria,2006,Both sexes,60.8,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,112,Belarus,2013,Female,89.43,-,-,1,1,Population age 16+,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,112,Belarus,2013,Male,90.62,-,-,1,1,Population age 16+,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,112,Belarus,2013,Both sexes,89.93,-,-,1,1,Population age 16+,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,112,Belarus,2014,Female,91.06,-,-,1,1,Population age 16+,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,112,Belarus,2014,Male,91.74,-,-,1,1,Population age 16+,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,112,Belarus,2014,Both sexes,91.34,-,-,1,1,Population age 16+,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,191,Croatia,2008,Female,76.8,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,191,Croatia,2008,Male,86.31,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,191,Croatia,2008,Both sexes,81.35,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,191,Croatia,2007,Female,72.61,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,191,Croatia,2007,Male,81.94,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,191,Croatia,2007,Both sexes,77.15,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2008,Female,85.88,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2008,Male,95.54,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2008,Both sexes,90.61,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2007,Female,87.24,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2007,Male,95.37,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2007,Both sexes,91.16,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2006,Female,82.3,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2006,Male,94.23,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,196,Cyprus,2006,Both sexes,88.1,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2008,Female,91.32,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2008,Male,93.75,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2008,Both sexes,92.53,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2007,Female,88.27,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2007,Male,92.04,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2007,Both sexes,90.14,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2006,Female,85.64,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2006,Male,90.09,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,203,Czech Republic,2006,Both sexes,87.85,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2008,Female,92.06,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2008,Male,94.56,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2008,Both sexes,93.31,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2007,Female,84.01,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2007,Male,87.37,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2007,Both sexes,85.69,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2006,Female,88.45,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2006,Male,92.53,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,208,Denmark,2006,Both sexes,90.49,-,-,1,1,Population age 16-74,-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,233,Estonia,2008,Female,92.3,-,-,1,1,Population age 16-74 (population 15-74 for reports showing age groups),-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,233,Estonia,2008,Male,93.03,-,-,1,1,Population age 16-74 (population 15-74 for reports showing age groups),-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,233,Estonia,2008,Both sexes,92.64,-,-,1,1,Population age 16-74 (population 15-74 for reports showing age groups),-,-,-,-,-,-
Proportion of individuals using mobile/cellular telephones  by sex,Developed regions,233,Estonia,2007,Female,92.13,-,-,1,1,Population age 16-74 (population 15-74 for reports showing age groups),-,-,-,-,-,-
