22 - Gross enrolment ratio in secondary education  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2003,Female,6.77,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2003,Male,19.38,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:10:33,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2003,Both sexes,13.32,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2008,Female,23.76,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2008,Male,55.71,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2008,Both sexes,40.22,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2005,Female,9.56,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2005,Male,29.35,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2005,Both sexes,19.78,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2007,Female,16.19,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2007,Male,43.13,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2007,Both sexes,30.08,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2009,Female,30.12,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2009,Male,62.37,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2009,Both sexes,46.73,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2010,Female,35.14,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2010,Male,70.29,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2010,Both sexes,53.25,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2001,Female,0,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2001,Male,25.06,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:33,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2001,Both sexes,13.05,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2004,Female,6.3,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2004,Male,30.17,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2004,Both sexes,18.66,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2006,Female,15.72,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2006,Male,43.25,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2006,Both sexes,29.93,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,1995,Female,12.02,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:27,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,1995,Male,32.15,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:33,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,1995,Both sexes,22.57,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:38,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2011,Female,38.78,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2011,Male,69.55,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2011,Both sexes,54.62,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2012,Female,40.43,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2012,Male,72.01,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2012,Both sexes,56.68,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:40,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2013,Female,40.21,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2013,Male,72.25,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2013,Both sexes,56.69,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:40,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2014,Female,39.67,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2014,Male,70.75,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2014,Both sexes,55.66,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:40,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2015,Female,39.74,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2015,Male,70.67,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:34,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,4,Afghanistan,2015,Both sexes,55.64,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:40,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,50,Bangladesh,1999,Female,46.49,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,50,Bangladesh,1999,Male,46.93,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:33,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,50,Bangladesh,1999,Both sexes,46.72,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:38,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,50,Bangladesh,2003,Female,52.72,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:28,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,50,Bangladesh,2003,Male,47.94,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:33,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,50.28,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:39,0,0,0,0,-,0
Gross enrolment ratio in secondary education  by sex,Southern Asia,50,Bangladesh,2008,Female,47.59,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:10:29,0,0,0,0,-,0
