27 - Adjusted net intake rate to the first grade of primary education  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2008,Female,92.78,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:55,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2008,Male,93.26,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:58,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2008,Both sexes,93.03,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:02,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2005,Female,100,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:54,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2005,Male,93.57,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:58,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,96.72,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:02,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2009,Female,95.04,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:55,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2009,Male,92.52,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:58,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2009,Both sexes,93.75,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:02,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2010,Female,98.91,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:55,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2010,Male,94.99,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:58,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,96.91,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:02,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2006,Female,100,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:54,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2006,Male,92.65,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:11:58,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,50,Bangladesh,2006,Both sexes,96.25,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:02,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,1999,Female,22.37,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:54,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,1999,Male,24.61,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:57,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,1999,Both sexes,23.5,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:01,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,2008,Female,57.99,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:55,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,2008,Male,56.43,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:58,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,2008,Both sexes,57.2,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:02,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,2000,Female,26.86,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:54,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,2000,Male,29.03,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:57,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,2000,Both sexes,27.96,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:02,0,0,0,0,-,0
Adjusted net intake rate to the first grade of primary education  by sex,Southern Asia,64,Bhutan,2005,Female,37.69,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:11:54,0,0,0,0,-,0
