28 - Primary education completion rate (proxy)  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Primary education completion rate (proxy)  by sex,Southern Asia,4,Afghanistan,2005,Female,19,-,-,9,9,-,-,-,-,-,-,-
Primary education completion rate (proxy)  by sex,Southern Asia,4,Afghanistan,2005,Male,48,-,-,9,9,-,-,-,-,-,-,-
Primary education completion rate (proxy)  by sex,Southern Asia,4,Afghanistan,2005,Both sexes,34,-,-,9,9,-,-,-,-,-,-,-
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2008,Female,60.19,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:11,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2008,Male,54.5,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2008,Both sexes,57.29,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:18,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2005,Female,66.88,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:10,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2005,Male,61.96,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,64.37,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:17,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2009,Female,66.48,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:11,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2009,Male,60.65,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2009,Both sexes,63.51,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:18,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2010,Female,69.59,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:11,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2010,Male,62.08,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,65.76,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:18,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2011,Female,78.57,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:11,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2011,Male,68.69,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2011,Both sexes,73.53,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:18,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2013,Female,97.04,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:11,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2013,Male,86.18,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,91.5,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:18,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2015,Female,107,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:11,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2015,Male,90.25,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,50,Bangladesh,2015,Both sexes,98.45,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:18,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,1999,Female,45.89,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:10,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,1999,Male,54.58,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:13,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,1999,Both sexes,50.26,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:17,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2008,Female,84.38,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:11,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2008,Male,78.38,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:14,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2008,Both sexes,81.34,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:18,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2000,Female,47.33,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:10,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2000,Male,54.53,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:13,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2000,Both sexes,50.96,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:17,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2005,Both sexes,69.18,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:17,0,0,0,0,-,0
Primary education completion rate (proxy)  by sex,Southern Asia,64,Bhutan,2007,Both sexes,75.62,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:17,0,0,0,0,-,0
