30 - Effective transition rate from primary to secondary education (general programmes)  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,50,Bangladesh,2005,Female,100,-,-,9,9,-,-,-,-,-,-,-
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,50,Bangladesh,2005,Male,94.67,-,-,9,9,-,-,-,-,-,-,-
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,97.38,-,-,9,9,-,-,-,-,-,-,-
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,94.51,-,-,3,9,Data extracted via UNESCO API on: 2017-06-21T18:12:37,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,1999,Female,93.95,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:30,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,1999,Male,92.86,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:33,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,1999,Both sexes,93.35,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:37,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2003,Both sexes,94.38,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:37,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2008,Female,100,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:31,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2008,Male,96.25,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:34,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2008,Both sexes,98.17,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:37,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2000,Female,94.74,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:30,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2000,Male,92.47,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:34,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2000,Both sexes,93.51,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:37,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2005,Female,97.62,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:30,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2005,Male,95.55,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:34,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2005,Both sexes,96.57,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:37,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2007,Both sexes,98.25,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:37,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2009,Female,99.55,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:31,0,0,0,0,-,0
Effective transition rate from primary to secondary education (general programmes)  by sex,Southern Asia,64,Bhutan,2009,Male,97.62,-,-,1,9,Data extracted via UNESCO API on: 2017-06-21T18:12:34,0,0,0,0,-,0
