31a - Educational attainment (primary) of the population aged 25 and older  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Female,41.51,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Male,52.86,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Both sexes,47.24,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Female,49.05,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Male,47.29,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Both sexes,47.74,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Female,33.23,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Male,40.01,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Both sexes,36.63,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Female,29.2,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Male,59.4,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Both sexes,45,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Female,34.64,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Male,60.99,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Both sexes,48.35,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Female,94,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Male,96.71,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Both sexes,95.33,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Female,90.1,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Male,93.69,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,20,Andorra,2006,Both sexes,91.98,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Female,100,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Male,100,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Both sexes,100,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Female,99.81,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Male,100,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Both sexes,99.9,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,56,Belgium,2010,Female,91.4,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,56,Belgium,2010,Male,94,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,56,Belgium,2010,Both sexes,92.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,56,Belgium,2011,Female,91.86,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,56,Belgium,2011,Male,94.06,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,56,Belgium,2011,Both sexes,92.92,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,70,Bosnia and Herzegovina,2010,Female,63.3,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,70,Bosnia and Herzegovina,2010,Male,83.8,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,70,Bosnia and Herzegovina,2010,Both sexes,73.1,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,70,Bosnia and Herzegovina,2011,Female,65.33,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,70,Bosnia and Herzegovina,2011,Male,84.15,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,70,Bosnia and Herzegovina,2011,Both sexes,74.35,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,112,Belarus,2009,Female,95.93,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,112,Belarus,2009,Male,96.66,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,112,Belarus,2009,Both sexes,96.25,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,191,Croatia,2001,Female,87.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,191,Croatia,2001,Male,94.9,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,191,Croatia,2001,Both sexes,91.1,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,191,Croatia,2011,Female,95.25,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,191,Croatia,2011,Male,98.53,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,191,Croatia,2011,Both sexes,96.79,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,196,Cyprus,2010,Female,90.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,196,Cyprus,2010,Male,95.9,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,196,Cyprus,2010,Both sexes,93.1,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,196,Cyprus,2012,Female,92.14,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,196,Cyprus,2012,Male,96.14,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (primary) of the population aged 25 and older  by sex,Developed regions,196,Cyprus,2012,Both sexes,94.04,-,-,2,2,-,-,-,-,-,-,-
