31c - Educational attainment (upper secondary) of the population aged 25 and older  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Female,13.36,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Male,20.82,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,50,Bangladesh,2001,Both sexes,17.13,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Female,16.23,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Male,19.37,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,64,Bhutan,2005,Both sexes,18.56,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2009,Female,30.18,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2009,Male,29.02,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,144,Sri Lanka,2009,Both sexes,29.64,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Female,42.2,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Male,42.7,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2010,Both sexes,42.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Female,43.94,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Male,45.1,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,364,Iran (Islamic Republic of),2012,Both sexes,44.56,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Female,3.86,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Male,5.99,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,462,Maldives,2006,Both sexes,4.93,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Female,14.6,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Male,31.3,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2009,Both sexes,23.3,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Female,14.24,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Male,33.3,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Southern Asia,586,Pakistan,2011,Both sexes,24.15,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Female,38.55,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Male,48.13,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,8,Albania,2011,Both sexes,43.26,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Female,72.6,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Male,75.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2011,Both sexes,74.1,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Female,75,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Male,77.99,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,36,Australia,2012,Both sexes,76.48,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2010,Female,69.2,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2010,Male,84.5,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2010,Both sexes,76.6,-,-,2,2,-,-,-,-,-,-,-
Educational attainment (upper secondary) of the population aged 25 and older  by sex,Developed regions,40,Austria,2012,Female,69.83,-,-,2,2,-,-,-,-,-,-,-
