3b - Labour force participation rate for persons aged 15+  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2011,Female,18.5,-,-,1,1,Age: 14+,-,Reference period: Noncalendar year,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2011,Male,80,-,-,1,1,Age: 14+,-,Reference period: Noncalendar year,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,4,Afghanistan,2011,Both sexes,49.8,-,-,1,1,Age: 14+,-,Reference period: Noncalendar year,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2003,Female,26.07,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2003,Male,87.39,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,57.3,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2000,Female,55.87,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2000,Male,87.22,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,72.06,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2005,Female,29.17,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2005,Male,86.8,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,58.47,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year | Population coverage: Excluding armed forces and/or conscripts
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2010,Female,35.49,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2010,Male,81.62,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,58.58,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,1996,Female,55.86,-,-,1,1,-,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,1996,Male,88.76,-,-,1,1,-,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,72.56,-,-,1,1,-,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2013,Female,33.56,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2013,Male,81.77,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,57.18,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2005,Female,47.7,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2005,Male,71.47,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2005,Both sexes,60.44,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2009,Female,66.04,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2009,Male,73.58,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2009,Both sexes,69.7,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2010,Female,63.87,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2010,Male,72.81,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2010,Both sexes,68.15,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2006,Female,55.8,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2006,Male,72.2,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2006,Both sexes,61.8,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2011,Female,62.84,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Data reference period: April | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2011,Male,72.24,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Data reference period: April | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2011,Both sexes,67.39,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Data reference period: April | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2012,Female,63.23,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2012,Male,65.67,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Labour force participation rate for persons aged 15+  by sex,Southern Asia,64,Bhutan,2012,Both sexes,64.36,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
