48 - Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,4,Afghanistan,2015,Female,46.1,-,-,1,1,Source: DHS,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2007,Female,23.9,-,-,1,1,Source: DHS,Data pertains to ever-married women,Sample Size: 10 996 women 3 771 men. 4 489 women subsample for the domestic violence module,http://dhsprogram.com/pubs/pdf/FR207/FR207[April-10-2009].pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2011,Female,50.7,-,-,1,1,Source: Other,Data pertains to married women and current husbands.,Sample Size: 12 530 women,http://203.112.218.66/WebTestApplication/userfiles/Image/Latest%20Statistics%20Release/VAW_Survey_2011.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2002,Female,31.9,-,-,1,1,Source: WHO,Provincial Survey  Data pertains to 2000-2003,Sample Size: 1 527 women,http://www.who.int/gender/violence/who_multicountry_study/en/,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,50,Bangladesh,2002,Female,30.2,-,-,1,1,Source: WHO,City Survey  Data pertains to 2000-2003,Sample Size: 1 603 women,http://www.who.int/gender/violence/who_multicountry_study/en/,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,356,India,2006,Female,23.9,-,-,1,1,Source: DHS,Data pertains to currently married women and 2005-2006,Sample Size: 124 385 women 74 369 men,http://dhsprogram.com/pubs/pdf/FRIND3/FRIND3-Vol1AndVol2.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,462,Maldives,2006,Female,6.4,-,-,1,1,Source: WHO,0,Sample Size: 1 900 women,http://minivannews.com/files/2010/10/Maldives-Study-on-Womens-Health-and-Life-Experiences-2007.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Southern Asia,524,Nepal,2011,Female,14.3,-,-,1,1,Source: DHS,Data pertains to ever-married women,Sample Size: 12 674 women,http://dhsprogram.com/pubs/pdf/FR257/FR257[13April2012].pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,40,Austria,2014,Female,3,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 505 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,56,Belgium,2014,Female,6,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 537 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,100,Bulgaria,2014,Female,6,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 507 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,124,Canada,2009,Female,1.3,-,-,1,1,Source: Other,Data pertains to women aged 15+,Sample Size: 9 411 women,http://www.statcan.gc.ca/pub/85-224-x/2010000/aftertoc-aprestdm1-eng.htm,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,191,Croatia,2014,Female,3,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,0,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,203,Czech Republic,2014,Female,4,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 620 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,208,Denmark,2003,Female,1,-,-,1,1,Source: IVAWS,Data pertains to ever-married women aged 18-69,Sample Size: 3 589 women,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,208,Denmark,2014,Female,4,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 514 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,233,Estonia,2014,Female,4,-,-,1,1,Source: FRA,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,246,Finland,2006,Female,7,-,-,1,1,Source: Other,Data pertains to women currently in a partnership aged 18-74 and 2005-2006,Sample Size: 4 464 women,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,246,Finland,2013,Female,5.8,-,-,1,1,Source: Victimization survey,Data pertains to women aged 15-74,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,246,Finland,2014,Female,5,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 520 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,250,France,2007,Female,1,-,-,1,1,Source: Other,Data pertains to women aged 18-75,Sample Size: 25500,http://sgdatabase.unwomen.org/uploads/Enquete%20INSEE%20sur%20les%20Violences%20faites%20aux%20femmes%20-%202008.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,250,France,2014,Female,5,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 528 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,276,Germany,2014,Female,3,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 534 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,300,Greece,2014,Female,6,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 500 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,348,Hungary,2014,Female,6,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 512 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,352,Iceland,2008,Female,1.8,-,-,1,1,Source: IVAWS,Data pertains to women aged 18-80,Sample Size: 2 050 women,http://eng.velferdarraduneyti.is/media/rit-og-skyrslur2012/Ofbeldi_gegn_konum_enska_feb_2012.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,372,Ireland,2014,Female,3,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 567 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,380,Italy,2006,Female,2.4,-,-,1,1,Source: IVAWS,Data pertains to women aged 18-70,Sample Size: 25 000 women,http://www.unece.org/fileadmin/DAM/stats/documents/ece/ces/ge.30/2007/mtg1/wp.8.e.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,380,Italy,2014,Female,6,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 531 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,428,Latvia,2014,Female,5,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 513 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,440,Lithuania,2014,Female,4,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 552 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,442,Luxembourg,2014,Female,3,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 908 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,470,Malta,2014,Female,4,-,-,1,1,Source: FRA,0,Sample Size: 1 501 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,498,Republic of Moldova,2005,Female,14.6,-,-,1,1,Source: DHS,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,528,Netherlands,2014,Female,2,-,-,1,1,Source: FRA,0,Sample Size: 1 510 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,578,Norway,2008,Female,6,-,-,1,1,Source: Other,Data pertains to women aged 20-55,Sample Size: 2 143 women,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,616,Poland,2004,Female,3.3,-,-,1,1,Source: IVAWS,Data pertains to women aged 18-69,Sample Size: 2 009 women,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,616,Poland,2014,Female,2,-,-,1,1,Source: FRA,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,642,Romania,2014,Female,6,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 579 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,703,Slovakia,2008,Female,12,-,-,1,1,Source: Other,Data pertains to women aged 18-65,Sample Size: 827 women,http://www.unifem.sk/uploads/doc/VAWSlovakia.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,703,Slovakia,2014,Female,6,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 512 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,705,Slovenia,2014,Female,2,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 501 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,724,Spain,2014,Female,2,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 520 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,752,Sweden,2012,Female,2.2,-,-,1,1,Source: Crime Survey,0,0,0,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,752,Sweden,2014,Female,5,-,-,1,1,Source: FRA,Data pertains to women aged 18-74,Sample Size: 1 504 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,804,Ukraine,2007,Female,10.6,-,-,1,1,Source: DHS,0,Sample Size: 6 841 women 3 178 men,http://dhsprogram.com/pubs/pdf/FR210/FR210.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Developed regions,826,United Kingdom of Great Britain and Northern Ireland,2014,Female,5,-,-,1,1,Source: FRA,Data pertains to women from england and wales aged 18-74,Sample Size: 1 510 women,http://fra.europa.eu/DVS/DVT/vaw.php,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Northern Africa,818,Egypt,2014,Female,14,-,-,1,1,Source: DHS,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Oceania,242,Fiji,2011,Female,24,-,-,1,1,Source: WHO,Data pertains women aged 18-64 and 2010-2011,Sample Size: 3 193 women,http://fijiwomen.com/wp-content/uploads/2014/11/1.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Oceania,296,Kiribati,2008,Female,36.1,-,-,1,1,Source: WHO,0,Sample Size: 1 501 women,http://www.spc.int/hdp/index.php?option=com_docman&task=cat_view&gid=89&Itemid=44,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Oceania,548,Vanuatu,2009,Female,44,-,-,1,1,Source: WHO,0,Sample Size: 2 337 women,http://aid.dfat.gov.au/countries/pacific/vanuatu/Documents/womens-centre-survey-womens-lives.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Oceania,584,Marshall Islands,2007,Female,24.7,-,-,1,1,Source: DHS,0,Sample Size: 1 626 women,http://www.spc.int/sdd/index.php/en/downloads/cat_view/46-dhs/48-marshall-islands-2007-dhs-report,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Oceania,776,Tonga,2009,Female,19,-,-,1,1,Source: WHO,0,Sample Size: 634 women,http://www.pacificwomen.org/wp-content/uploads/tonga-vaw-report-final-20121.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Oceania,798,Tuvalu,2007,Female,25,-,-,1,1,Source: DHS,0,Sample Size: 501 women,http://www.spc.int/sdd/index.php/en/downloads/cat_view/46-dhs/53-tuvalu-2007-dhs-report,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,120,Cameroon,2011,Female,32.6,-,-,1,1,Source: DHS,0,Sample Size: 15 426 women 7 191 men,http://dhsprogram.com/pubs/pdf/FR260/FR260.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,140,Central African Republic,2006,Female,26.3,-,-,1,1,Source: MICS,Data pertains to ever-married women.,Sample Size: 11 592 women 5 450 men,http://www.childinfo.org/files/MICS3_CAR_FinalReport_2006_Fr.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,148,Chad,2015,Female,17.5,-,-,1,1,Source: DHS,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,174,Comoros,2012,Female,4.8,-,-,1,1,Source: DHS,Data pertains to current or most recent partner.,Sample Size: 5 329 women 2 167 men,http://dhsprogram.com/pubs/pdf/FR278/FR278.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,180,Democratic Republic of the Congo,2014,Female,36.8,-,-,1,1,Source: DHS,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,226,Equatorial Guinea,2011,Female,43.6,-,-,1,1,Source: DHS,0,Sample Size: 3 575 women  1 825 men,http://dhsprogram.com/pubs/pdf/FR271/FR271.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,266,Gabon,2012,Female,31.2,-,-,1,1,Source: DHS,0,Sample Size: 8 422 women 5 654 men,http://dhsprogram.com/pubs/pdf/FR276/FR276.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,270,Gambia,2013,Female,7.3,-,-,1,1,Source: DHS,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,288,Ghana,2008,Female,20,-,-,1,1,Source: DHS,0,Sample Size: 4 916 women 4 568 men,http://dhsprogram.com/publications/publication-FR221-DHS-Final-Reports.cfm,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,384,Côte d'Ivoire,2012,Female,22.9,-,-,1,1,Source: DHS,Data pertains to 2010-2011,Sample Size: 10 060 women 5 135 men,http://dhsprogram.com/pubs/pdf/FR272/FR272.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,404,Kenya,2003,Female,28.2,-,-,1,1,Source: DHS,Sample Size: 8195,http://www.measuredhs.com/pubs/pdf/FR151/FR151.pdf,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,404,Kenya,2009,Female,34,-,-,1,1,Source: DHS,Sample Size: 8444,http://www.measuredhs.com/pubs/pdf/FR229/FR229.pdf,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,404,Kenya,2014,Female,25.5,-,-,1,1,Source: DHS,0,0,-,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,430,Liberia,2007,Female,36.3,-,-,1,1,Source: DHS,0,Sample Size: 7 092 women 6 009 men,http://dhsprogram.com/pubs/pdf/FR201/FR201.pdf,-,-,-
Proportion of ever-partnered women (aged 15-49) subjected to physical and/or sexual violence by a current or former intimate partner  in the last 12 months,Sub-Saharan Africa,454,Malawi,2010,Female,21.2,-,-,1,1,Source: DHS,0,Sample Size: 23 020 women 7 175 men,http://www.measuredhs.com/pubs/pdf/FR247/FR247.pdf,-,-,-
