8a - Percentage distribution of employed population in agricultural sector  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2003,Female,58.62,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2003,Male,49.77,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2003,Both sexes,51.74,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2000,Female,76.9,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2000,Male,53.31,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2000,Both sexes,62.15,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2005,Female,68.13,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2005,Male,41.81,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2005,Both sexes,48.08,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2010,Female,64.83,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2010,Male,39.8,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,47.3,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,1996,Female,77.52,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,1996,Male,54.44,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,1996,Both sexes,63.25,-,-,1,1,Age coverage - minimum age: 10 years old,-,-,-,-,-,Data reference period: Noncalendar year
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2002,Female,58.6,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2002,Male,49.8,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2002,Both sexes,51.7,-,-,1,1,Age:15+,-,-,-,-,-,Coverage:Civilian
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2013,Female,53.47,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2013,Male,41.68,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,45.1,-,-,1,1,Break in series: Methodology revised,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2003,Female,88.66,-,-,1,1,-,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2003,Male,71.04,-,-,1,1,-,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2003,Both sexes,79.76,-,-,1,1,-,-,-,-,-,-,-
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2005,Female,62.97,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2005,Male,32.6,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2005,Both sexes,43.62,-,-,1,1,-,-,-,-,-,-,Data reference period: May
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2009,Female,72.12,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2009,Male,59.11,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2009,Both sexes,65.37,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2010,Female,65.29,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2010,Male,54.01,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2010,Both sexes,59.6,-,-,1,1,-,-,-,-,-,-,Data reference period: March | Geographical coverage: Total national  excluding overseas territories
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2006,Female,72.08,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2006,Male,56.17,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
Percentage distribution of employed population in agricultural sector  by sex,Southern Asia,64,Bhutan,2006,Both sexes,63.06,-,-,1,1,-,-,-,-,-,-,Data reference period: Average of 2 monthly points
