9 - Informal employment as a percentage of total non-agricultural employment  by sex

Indicator Name,Region,Country Code,Country,Year,Sex,Value,LowerBound,UpperBound,NatureDataID,OriginDataID,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Coverage
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,50,Bangladesh,2010,Female,39.12,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,-
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,50,Bangladesh,2010,Male,48.94,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,-
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,50,Bangladesh,2010,Both sexes,46.97,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,-
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,50,Bangladesh,2013,Female,37.28,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,-
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,50,Bangladesh,2013,Male,53.04,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,-
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,50,Bangladesh,2013,Both sexes,49.16,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,-
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,144,Sri Lanka,2009,Female,55.71,-,-,1,1,Age coverage - minimum age: 10 years old,Informal employees: Do not have a written contract  and are not entitled to annual vacations,-,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,144,Sri Lanka,2009,Male,65.23,-,-,1,1,Age coverage - minimum age: 10 years old,Informal employees: Do not have a written contract  and are not entitled to annual vacations,-,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,144,Sri Lanka,2009,Both sexes,62.12,-,-,1,1,Age coverage - minimum age: 10 years old,Informal employees: Do not have a written contract  and are not entitled to annual vacations,-,-,-,-,Geographical coverage: Total national  excluding some areas | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,356,India,2010,Female,84.7,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,356,India,2010,Male,83.33,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,356,India,2010,Both sexes,83.59,-,-,1,1,-,-,-,-,-,-,Data reference period: Noncalendar year
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,356,India,2012,Female,52.56,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,Data reference period: Noncalendar year
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,356,India,2012,Male,65.78,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,Data reference period: Noncalendar year
Informal employment as a percentage of total non-agricultural employment  by sex,Southern Asia,356,India,2012,Both sexes,63.57,-,-,1,1,Break in series: Methodology revised,Break in series,-,-,-,-,Data reference period: Noncalendar year
