;Region;Country Code;Country;Year;Sex;32 - Contraceptive prevalence among women who are married or in a union  aged 15-49;35b - Antenatal care coverage  at least four visi;4 - Proportion of employed who are own-account workers  by sex;9 - Informal employment as a percentage of total non-agricultural employment  by sex;8b - Percentage distribution of employed population in industrial sector  by sex;31c - Educational attainment (upper secondary) of the population aged 25 and older  by sex;30 - Effective transition rate from primary to secondary education (general programmes)  by sex;20 - Youth literacy rate of persons (15-24 years)  by sex;24b - Gender parity index of the gross enrolment ratio in secondary education;10 - Youth unemployment rate for persons aged 15-24  by sex;36 - Proportion of births attended by skilled health professional;29 - Gross graduation ratio from lower secondary education  by sex;31d - Educational attainment (post-secondary) of the population aged 25 and older  by sex;26 - Proportion of females among tertiary education teachers or professor;3a - Labour force participation rate for persons aged 15-24  by sex;25 - Share of female science  engineering  manufacturing and construction graduates at tertiary level;27 - Adjusted net intake rate to the first grade of primary education  by sex;24a - Gender parity index of the gross enrolment ratio in primary education;8c - Percentage distribution of employed population in service sector  by sex;33 - Under-five mortality rate  by sex;23 - Gross enrolment ratio in tertiary education  by sex;6 - Proportion of employed who are employers  by sex;21 - Adjusted net enrolment rate in primary education by sex;28 - Primary education completion rate (proxy)  by sex;43 - Women’s share of government ministerial position;3b - Labour force participation rate for persons aged 15+  by sex;35a - Antenatal care coverage  at least one visi;31b - Educational attainment (lower secondary) of the population aged 25 and older  by sex;40 - Access to anti-retroviral drug  by sex;22 - Gross enrolment ratio in secondary education  by sex;39 - Women’s share of population aged 15-49 living with HIV_AIDS;14 - Proportion of employed working part-time  by sex;24c - Gender parity index of the gross enrolment ratio in tertiary education;44 - Proportion of seats held by women in national parliamen;50 - Prevalence of female genital mutilation_cutting (for relevant countries only);52 - Adolescent birth rate;8a - Percentage distribution of employed population in agricultural sector  by sex;51 - Percentage of women aged 20-24 years old who were married or in a union before age 18;34 - Maternal mortality ratio;45 - Women’s share of managerial position;18 - Proportion of individuals using mobile_cellular telephones  by sex;49 - Proportion of women (aged 15-49) subjected to sexual violence by persons other than an intimate partner  since age 15;37 - Smoking prevalence among persons aged 15 and over  by sex;31e - Educational attainment (tertiary) of the population aged 25 and older  by sex;5 - Proportion of employed who are contributing family workers  by sex;1 - Average number of hours spent on unpaid domestic and care work  by sex;48 - Proportion of ever-partnered women (aged 15-49) subjected to physical and_or sexual violence by a current or former intimate partner  in the last 12 month;46 - Share of female police officer;38 - Proportion of adults who are obese  by sex;31a - Educational attainment (primary) of the population aged 25 and older  by sex;2 - Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex;41 - Life expectancy at age 60  by sex;17 - Proportion of individuals using the Internet  by sex;47 - Share of female judge
0;Southern Asia;4;Afghanistan;2003;Female;10,3;;;;;;;;;;14,3;;;11,97;;;;;;;0,54;;;;;;16,1;;;6,77;29;;;;;146,0;;;941,0;;;;;;;;;;;;;;;
1;Southern Asia;4;Afghanistan;2008;Female;22,8;;;;;;;;;;24,0;;;;;;;;;;;;;;3,7037037037037;;36,0;;;23,76;30;;;27,7;;90,0;;;676,0;;;;;;;;;;3,3;;;;;
2;Southern Asia;4;Afghanistan;2000;Female;4,9;;;;;;;;;;;;;11,98;;;;;;132,7;;;;;;;;;;;28;;;;;;;;1100,0;;;;;;;;;;;;;15,87;;
3;Southern Asia;4;Afghanistan;2005;Female;13,6;;;;;;;;;;;;;;;;;;;;;;;19,0;10,0;;;;;9,56;29;;;;;;;;821,0;;;;;;;;;;;;;16,18;;
4;Southern Asia;4;Afghanistan;2010;Female;21,8;16,1;;;;;;;;;34,3;;;;;;;;;101,4;;;;;7,4074074074074;;59,6;;;35,14;30;;;27,7;;;;40,4;584,0;;;;;;;;;;;;;16,47;;
5;Southern Asia;4;Afghanistan;2010;Female;21,8;16,1;;;;;;;;;34,3;;;;;;;;;101,4;;;;;7,4074074074074;;47,9;;;35,14;30;;;27,7;;;;40,4;584,0;;;;;;;;;;;;;16,47;;
6;Southern Asia;4;Afghanistan;2010;Female;21,8;14,6;;;;;;;;;34,3;;;;;;;;;101,4;;;;;7,4074074074074;;59,6;;;35,14;30;;;27,7;;;;40,4;584,0;;;;;;;;;;;;;16,47;;
7;Southern Asia;4;Afghanistan;2010;Female;21,8;14,6;;;;;;;;;34,3;;;;;;;;;101,4;;;;;7,4074074074074;;47,9;;;35,14;30;;;27,7;;;;40,4;584,0;;;;;;;;;;;;;16,47;;
8;Southern Asia;4;Afghanistan;2006;Female;18,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15,72;29;;;27,3;;;;;776,0;;;;;;;;;;;;;;;
9;Southern Asia;4;Afghanistan;2011;Female;21,2;14,6;;;;;;32,11;;;38,6;;;20,48;;;;;;;1,89;;;;;18,5;51,2;;;38,78;30;;;27,7;;;;40,4;536,0;;;;;;;;;;;;;;;
10;Southern Asia;50;Bangladesh;2000;Female;54,3;10,5;10,98;;8,98;;;;;10,29;12,1;;;15,41;52,48;;;;12,14;84,9;3,57;0,06;;;;55,87;39,7;;;48,81;21;;;9,1;;134,0;76,9;;399,0;;;;;;73,25;;;;;;;18,16;;
11;Southern Asia;50;Bangladesh;2007;Female;55,8;20,6;;;;;;;;;18,0;51,55;;18,08;;;;;;;5,44;;;;;;51,7;;;48,11;27;;;;;;;66,2;288,0;;;;;;;;23,9;;;;;;;
